Order_ID,Order_Date,Customer_ID,Customer_Segment,Region,Country,Product_Category,Product_Name,Unit_Price,Quantity,Discount_Pct,Sales_Revenue,Cost,Profit,Shipping_Status,Satisfaction_Rating
ORD-20000,2025-04-13,CUST-1151,Corporate,Europe,Spain,Office Furniture,Acoustic Office Pods,4228.92,2,0.0,8457.84,5328.48,3129.36,Delivered,3
ORD-20001,2025-12-10,CUST-1169,Corporate,Europe,United Kingdom,Office Furniture,Adjustable Standing Desks,663.64,1,0.0,663.64,361.72,301.92,Delivered,1
ORD-20002,2025-07-09,CUST-1387,Enterprise,Europe,United Kingdom,Electronics,Monitors & Displays,460.35,10,0.0,4603.5,2891.05,1712.45,Processing,4
ORD-20003,2025-12-12,CUST-1359,Corporate,North America,USA,Electronics,Wireless Audio,160.26,3,0.05,456.74,289.28,167.46,Delivered,4
ORD-20004,2026-07-20,CUST-1295,Enterprise,Europe,Netherlands,Software & Cloud,AI Assistant Subscription,975.67,4,0.15,3317.28,460.87,2856.41,Shipped,5
ORD-20005,2025-02-22,CUST-1128,Corporate,North America,Mexico,Software & Cloud,Enterprise CRM License,1202.34,2,0.0,2404.68,374.18,2030.5,Delivered,3
ORD-20006,2025-05-19,CUST-1253,Corporate,Latin America,Brazil,Electronics,Monitors & Displays,684.6,3,0.15,1745.73,1169.26,576.47,Shipped,5
ORD-20007,2025-01-09,CUST-1103,Consumer,Europe,France,Electronics,Monitors & Displays,649.28,5,0.1,2921.76,1881.69,1040.07,Delivered,3
ORD-20008,2026-05-25,CUST-1067,Enterprise,Europe,United Kingdom,Office Supplies,High-Volume Printers,404.05,1,0.05,383.85,215.58,168.27,Delivered,4
ORD-20009,2026-05-19,CUST-1229,Corporate,North America,Canada,Software & Cloud,Cybersecurity Suite,1583.7,2,0.0,3167.4,740.57,2426.83,Delivered,5
ORD-20010,2025-10-10,CUST-1191,Corporate,Asia Pacific,Singapore,Software & Cloud,AI Assistant Subscription,602.11,2,0.0,1204.22,318.95,885.27,Delivered,3
ORD-20011,2025-08-08,CUST-1115,Consumer,Europe,France,Software & Cloud,AI Assistant Subscription,906.8,3,0.15,2312.34,556.04,1756.3,Delivered,4
ORD-20012,2025-06-10,CUST-1126,Consumer,North America,Mexico,Electronics,Smartphones & Tablets,1045.44,8,0.05,7945.34,5450.41,2494.93,Delivered,5
ORD-20013,2025-04-14,CUST-1390,Enterprise,North America,USA,Office Furniture,Acoustic Office Pods,3981.19,2,0.0,7962.38,4507.06,3455.32,Delivered,5
ORD-20014,2025-11-17,CUST-1089,Corporate,Europe,Germany,Electronics,Wireless Audio,321.65,1,0.05,305.57,217.66,87.91,Delivered,4
ORD-20015,2025-07-15,CUST-1191,Corporate,North America,Canada,Office Furniture,Adjustable Standing Desks,1066.05,5,0.05,5063.74,2477.71,2586.03,Delivered,5
ORD-20016,2026-07-02,CUST-1367,Corporate,North America,USA,Software & Cloud,AI Assistant Subscription,390.88,3,0.05,1114.01,286.43,827.58,Delivered,4
ORD-20017,2025-01-19,CUST-1366,Corporate,Europe,Netherlands,Software & Cloud,DevOps Productivity Tools,1450.25,4,0.0,5801.0,741.23,5059.77,Delivered,3
ORD-20018,2026-01-31,CUST-1222,Enterprise,Latin America,Chile,Electronics,Monitors & Displays,367.0,8,0.1,2642.4,2053.96,588.44,Delivered,5
ORD-20019,2025-08-23,CUST-1282,Corporate,Europe,Germany,Office Furniture,Conference Tables,2176.06,4,0.1,7833.82,3778.28,4055.54,Delivered,3
ORD-20020,2025-06-14,CUST-1363,Enterprise,Asia Pacific,India,Electronics,Smart Wearables,261.19,4,0.15,888.05,535.32,352.73,Delivered,4
ORD-20021,2026-06-15,CUST-1009,Consumer,Asia Pacific,Japan,Electronics,Monitors & Displays,389.53,2,0.05,740.11,482.41,257.7,Processing,5
ORD-20022,2025-01-05,CUST-1282,Consumer,Asia Pacific,Japan,Electronics,Laptops & Workstations,2210.88,2,0.2,3537.41,2563.39,974.02,Delivered,3
ORD-20023,2025-04-15,CUST-1052,Corporate,Asia Pacific,Singapore,Software & Cloud,Enterprise CRM License,534.18,1,0.05,507.47,103.43,404.04,Processing,3
ORD-20024,2025-03-19,CUST-1038,Corporate,Europe,Netherlands,Electronics,Laptops & Workstations,2440.27,3,0.0,7320.81,4873.17,2447.64,Delivered,4
ORD-20025,2025-04-28,CUST-1355,Corporate,Europe,Spain,Office Furniture,Adjustable Standing Desks,1266.96,2,0.05,2407.22,1142.63,1264.59,Shipped,5
ORD-20026,2025-05-07,CUST-1301,Corporate,Asia Pacific,Singapore,Electronics,Wireless Audio,193.61,1,0.0,193.61,150.85,42.76,Delivered,3
ORD-20027,2026-02-24,CUST-1312,Corporate,North America,USA,Electronics,Laptops & Workstations,1631.79,1,0.0,1631.79,1107.04,524.75,Delivered,4
ORD-20028,2025-09-01,CUST-1178,Corporate,Europe,France,Software & Cloud,Cybersecurity Suite,2061.33,2,0.0,4122.66,555.23,3567.43,Delivered,4
ORD-20029,2025-06-29,CUST-1176,Consumer,Europe,United Kingdom,Software & Cloud,Enterprise CRM License,1405.98,2,0.05,2671.36,795.11,1876.25,Delivered,5
ORD-20030,2025-03-04,CUST-1097,Corporate,Asia Pacific,South Korea,Office Supplies,High-Volume Printers,639.68,1,0.0,639.68,393.17,246.51,Delivered,2
ORD-20031,2026-02-10,CUST-1200,Corporate,Asia Pacific,Singapore,Office Furniture,Ergonomic Executive Chairs,511.95,2,0.0,1023.9,493.21,530.69,Delivered,3
ORD-20032,2025-10-23,CUST-1353,Corporate,North America,Mexico,Office Furniture,Ergonomic Executive Chairs,772.96,2,0.0,1545.92,981.37,564.55,Delivered,4
ORD-20033,2025-01-17,CUST-1197,Small Business,Asia Pacific,South Korea,Office Supplies,High-Volume Printers,548.11,2,0.1,986.6,546.14,440.46,Cancelled,2
ORD-20034,2025-09-25,CUST-1249,Corporate,Middle East & Africa,Saudi Arabia,Electronics,Smartphones & Tablets,641.28,3,0.0,1923.84,1312.73,611.11,Delivered,3
ORD-20035,2026-06-03,CUST-1272,Small Business,Europe,France,Electronics,Smartphones & Tablets,937.41,4,0.05,3562.16,2810.63,751.53,Delivered,4
ORD-20036,2025-07-07,CUST-1396,Corporate,North America,USA,Software & Cloud,Cybersecurity Suite,1653.32,1,0.05,1570.65,452.72,1117.93,Delivered,5
ORD-20037,2025-04-30,CUST-1225,Small Business,North America,USA,Office Furniture,Ergonomic Executive Chairs,705.76,2,0.0,1411.52,669.78,741.74,Shipped,5
ORD-20038,2025-02-09,CUST-1036,Corporate,Asia Pacific,Australia,Office Supplies,Storage & Archiving Units,99.14,2,0.0,198.28,128.5,69.78,Delivered,4
ORD-20039,2025-04-24,CUST-1146,Small Business,Asia Pacific,Japan,Software & Cloud,AI Assistant Subscription,925.21,2,0.05,1757.9,355.31,1402.59,Shipped,3
ORD-20040,2025-12-29,CUST-1030,Corporate,Latin America,Chile,Electronics,Smart Wearables,354.04,3,0.1,955.91,734.41,221.5,Shipped,3
ORD-20041,2025-12-29,CUST-1232,Corporate,North America,Canada,Electronics,Smartphones & Tablets,1254.37,4,0.05,4766.61,3807.2,959.41,Delivered,4
ORD-20042,2026-03-24,CUST-1210,Enterprise,Asia Pacific,Singapore,Software & Cloud,Cybersecurity Suite,794.59,10,0.0,7945.9,2123.29,5822.61,Delivered,1
ORD-20043,2025-02-28,CUST-1158,Small Business,Asia Pacific,Japan,Office Furniture,Adjustable Standing Desks,862.94,1,0.0,862.94,525.78,337.16,Delivered,5
ORD-20044,2026-05-31,CUST-1065,Corporate,North America,Canada,Office Furniture,Conference Tables,1809.69,2,0.05,3438.41,1830.57,1607.84,Delivered,5
ORD-20045,2025-10-22,CUST-1007,Enterprise,Asia Pacific,Japan,Electronics,Monitors & Displays,406.12,2,0.0,812.24,574.12,238.12,Delivered,4
ORD-20046,2025-10-25,CUST-1230,Small Business,Asia Pacific,Japan,Electronics,Smartphones & Tablets,744.78,5,0.0,3723.9,2794.99,928.91,Delivered,4
