Transaction_ID,Date,Year,Month,Region,Province,Category,Item_Name,Channel,Quantity,Unit_Price_PHP,Target_Revenue_PHP,Actual_Revenue_PHP,Total_Cost_PHP,Net_Profit_PHP,Status,Satisfaction_Score
EXP-30000,2025-04-13,2025,Apr,CAR,Benguet,High-Value Crops & Seeds,Vegetable Seed Packs,Direct DA Grant,2,652.6,1305.2,1305.2,827.91,477.29,Delivered,4
EXP-30001,2025-11-05,2025,Nov,CAR,Apayao,Post-Harvest Facilities,Rice Mill Processing Line,Farmer Association,1,1741625.07,1741625.07,1480381.31,1089332.56,391048.75,Completed,5
EXP-30002,2026-05-26,2026,May,CAR,Ifugao,Agricultural Machinery,Solar Irrigation Systems,Farmer Association,1,590814.43,590814.43,590814.43,434865.96,155948.47,Completed,3
EXP-30003,2025-01-21,2025,Jan,CAR,Kalinga,Fertilizers & Soil Health,Inorganic NPK Blend,Farmer Association,20,2143.77,42875.4,40731.63,27168.61,13563.02,Completed,5
EXP-30004,2026-05-24,2026,May,CAR,Mountain Province,High-Value Crops & Seeds,Vegetable Seed Packs,Farmer Association,1,750.13,750.13,712.62,476.44,236.18,Completed,2
EXP-30005,2026-07-10,2026,Jul,Region III,Ifugao,Post-Harvest Facilities,Cold Storage Module,Direct DA Grant,3,2867985.96,8603957.88,8603957.88,6242151.43,2361806.45,Completed,5
EXP-30006,2025-02-22,2025,Feb,CAR,Abra,Fertilizers & Soil Health,Organic Fertilizer (50kg),Farmer Association,2,526.42,1052.84,1052.84,817.51,235.33,Completed,5
EXP-30007,2025-03-04,2025,Mar,Region II,Apayao,High-Value Crops & Seeds,Certified Hybrid Rice Seeds,Direct DA Grant,3,2709.28,8127.84,7721.45,6206.39,1515.06,Delivered,5
EXP-30008,2025-02-17,2025,Feb,CAR,Abra,Fertilizers & Soil Health,Inorganic NPK Blend,Commercial Agri-Dealer,3,1457.7,4373.1,4154.44,3303.56,850.88,Delivered,4
EXP-30009,2025-08-06,2025,Aug,CAR,Abra,Agricultural Machinery,Combine Harvesters,Farmer Association,2,1722732.83,3445465.66,3445465.66,2149061.36,1296404.3,Delivered,5
EXP-30010,2025-08-19,2025,Aug,CAR,Ifugao,Fertilizers & Soil Health,Bio-Inoculant Strains,Direct DA Grant,10,391.38,3913.8,3913.8,2946.51,967.29,Completed,5
EXP-30011,2025-01-28,2025,Jan,CAR,Mountain Province,Agricultural Machinery,Solar Irrigation Systems,Commercial Agri-Dealer,2,562395.65,1124791.3,1068551.74,851785.43,216766.31,Completed,4
EXP-30012,2025-09-16,2025,Sep,CAR,Benguet,Agricultural Machinery,Combine Harvesters,Farmer Association,1,1617411.0,1617411.0,1617411.0,1090580.35,526830.65,Completed,5
EXP-30013,2026-05-12,2026,May,CAR,Abra,Agricultural Machinery,Solar Irrigation Systems,LGU Co-op Procurement,2,338123.8,676247.6,676247.6,448125.55,228122.05,Completed,5
EXP-30014,2025-08-13,2025,Aug,Region III,Ifugao,High-Value Crops & Seeds,High-Yield Corn Seeds,Commercial Agri-Dealer,2,2089.79,4179.58,3552.64,2320.77,1231.87,Completed,4
EXP-30015,2025-07-17,2025,Jul,CAR,Kalinga,Fertilizers & Soil Health,Bio-Inoculant Strains,Farmer Association,5,340.63,1703.15,1703.15,1091.78,611.37,Delivered,5
EXP-30016,2026-05-26,2026,May,CAR,Benguet,Agricultural Machinery,Solar Irrigation Systems,Direct DA Grant,1,579183.14,579183.14,579183.14,454251.15,124931.99,Completed,5
